1JANATAMF,Mutual Funds,A,1.3,0.8,2.54,11.94,"2021
"
1STPRIMFMF,Mutual Funds,A,0.8,1.48,0.38,11.62,"2020
"
AAMRANET,IT Sector,A,2.77,2.04,2.14,37.09,"2021
"
AAMRATECH,IT Sector,A,2.08,2.12,1.45,23.93,"2021
"
ABB1STMF,Mutual Funds,A,0.8,0.68,2.61,11.97,"2021
"
ABBANK,Bank,B,0.68,0.59,0.5,32.26,"2020
"
ACFL,Textile,A,1.1,1.08,1.25,34.72,"2021
"
ACI,Pharmaceuticals & Chemicals,A,55.61,15.72,5.5,162.65,"2021
"
ACIFORMULA,Pharmaceuticals & Chemicals,A,11.94,4.68,4.74,66.77,"2021
"
ACMELAB,Pharmaceuticals & Chemicals,A,2.5,11.09,7.42,95.04,"2021
"
ACTIVEFINE,Pharmaceuticals & Chemicals,B,0.05,1.04,0.16,22.01,"2021
"
ADNTEL,IT Sector,A,1.0,2.52,2.57,25.97,"2021
"
ADVENT,Pharmaceuticals & Chemicals,B,2.75,1.6,1.41,13.5,"2020
"
AFCAGRO,Pharmaceuticals & Chemicals,B,0.05,1.16,0.15,18.0,"2021
"
AGNISYSL,IT Sector,B,0.35,1.2,0.77,14.62,"2021
"
AGRANINS,Insurance,A,3.28,1.81,1.71,18.11,"2020
"
AIBL1STIMF,Mutual Funds,A,1.23,0.21,1.83,11.57,"2021
"
AIL,Textile,A,1.0,1.48,1.45,21.66,"2021
"
ALARABANK,Bank,A,1.5,2.06,2.42,22.35,"2020
"
ALIF,Textile,B,0.2,0.6,0.44,14.18,"2021
"
AMANFEED,Miscellaneous,A,1.5,3.72,2.53,32.23,"2021
"
AMCL(PRAN),Food & Allied,A,3.2,8.64,5.37,84.17,"2021
"
ANWARGALV,Engineering,A,22.37,20.52,2.03,10.85,"2020
"
AOL,Fuel & Power,A,3.76,1.96,1.58,19.25,"2020
"
APEXFOODS,Food & Allied,A,2.0,2.68,2.07,119.39,"2021
"
APEXFOOT,Tannery Industries,A,19.78,9.6,9.36,256.81,"2021
"
APEXSPINN,Textile,A,2.0,2.6,2.93,55.81,"2021
"
APEXTANRY,Tannery Industries,A,1.0,0.36,0.34,63.17,"2021
"
ARAMIT,Miscellaneous,A,5.0,4.54,7.66,181.42,"2021
"
ASIAINS,Insurance,A,1.2,4.24,2.34,24.52,"2020
"
ASIAPACINS,Insurance,A,1.0,3.33,1.97,20.63,"2020
"
ATCSLGF,Mutual Funds,A,1.5,1.12,1.93,12.41,"2021
"
BANGAS,Food & Allied,B,0.4,0.24,0.23,21.02,"2021
"
BANKASIA,Bank,A,1.0,3.15,1.74,23.34,"2020
"
BARKAPOWER,Fuel & Power,A,1.0,3.36,2.96,20.91,"2021
"
BATBC,Food & Allied,A,1351.8,28.54,60.48,188.89,"2020
"
BAYLEASING,Financial Institutions,A,1.0,3.67,1.14,19.8,"2020
"
BBSCABLES,Engineering,A,3.98,5.56,4.84,33.5,"2021
"
BDAUTOCA,Engineering,B,0.4,0.48,0.37,6.85,"2021
"
BDCOM,IT Sector,A,1.72,1.16,1.1,15.57,"2021
"
BDFINANCE,Financial Institutions,A,3.77,2.76,1.8,17.86,"2020
"
BDLAMPS,Engineering,A,2.0,5.08,5.1,95.16,"2021
"
BDTHAI,Engineering,B,0.2,0.48,1.25,28.11,"2021
"
BEACONPHAR,Pharmaceuticals & Chemicals,B,1.5,6.08,3.74,23.18,"2021
"
BENGALWTL,Engineering,B,0.5,0.69,0.51,24.87,"2021
"
BERGERPBL,Miscellaneous,A,37.5,51.3,58.0,232.78,"2021
"
BEXIMCO,Miscellaneous,B,3.5,16.43,7.53,78.28,"2021
"
BGIC,Insurance,A,1.2,2.51,1.25,19.38,"2020
"
BNICL,Insurance,A,1.5,3.83,2.32,20.17,"2020
"
BPML,Paper & Printing,A,1.2,1.56,2.37,45.81,"2021
"
BPPL,Fuel & Power,N,1.25,4.52,3.71,16.34,"2021
"
BRACBANK,Bank,A,3.93,3.83,3.33,36.63,"2020
"
BSC,Miscellaneous,A,1.0,17.35,2.72,56.03,"2020
"
BSCCL,Telecommunication,A,3.7,12.84,11.57,52.49,"2021
"
BSRMLTD,Engineering,A,5.0,17.13,16.62,127.56,"2021
"
BSRMSTEEL,Engineering,A,4.0,11.56,8.1,62.38,"2021
"
BXPHARMA,Pharmaceuticals & Chemicals,A,3.5,13.12,11.49,83.01,"2021
"
CAPMBDBLMF,Mutual Funds,A,1.3,1.48,2.41,11.81,"2021
"
CAPMIBBLMF,Mutual Funds,A,1.35,1.28,1.89,11.97,"2021
"
CENTRALINS,Insurance,A,4.5,2.68,2.18,25.02,"2020
"
CITYBANK,Bank,A,3.13,3.96,4.29,29.03,"2020
"
CITYGENINS,Insurance,A,1.0,1.71,1.77,16.88,"2020
"
CNATEX,Textile,Z,0.85,0.72,1.14,16.74,"2016
"
CONFIDCEM,Cement,A,2.5,9.29,15.88,74.26,"2021
"
CONTININS,Insurance,A,2.39,2.27,1.29,19.84,"2020
"
COPPERTECH,Engineering,B,0.25,1.24,0.35,11.24,"2020
"
CRYSTALINS,Insurance,A,1.0,2.46,4.59,20.98,"2020
"
DACCADYE,Textile,B,0.1,1.24,0.13,8.36,"2020
"
DAFODILCOM,IT Sector,B,0.6,0.72,0.7,13.42,"2021
"
DBH,Financial Institutions,A,13.17,6.11,5.78,41.72,"2020
"
DBH1STMF,Mutual Funds,A,1.2,0.13,2.13,11.79,"2021
"
DESCO,Fuel & Power,A,1.0,0.55,1.13,46.76,"2020
"
DESHBANDHU,Engineering,B,0.5,0.56,0.2,18.07,"2021
"
DGIC,Insurance,A,1.0,1.32,0.91,7.16,"2020
"
DHAKABANK,Bank,A,1.47,2.18,2.2,21.69,"2020
"
DHAKAINS,Insurance,A,2.0,3.31,2.89,31.61,"2020
"
DOMINAGE,Engineering,A,2.29,0.6,0.97,21.23,"2020
"
DOREENPWR,Fuel & Power,A,10.34,9.72,8.09,48.41,"2021
"
DSHGARME,Textile,B,0.5,1.04,0.4,19.7,"2021
"
DSSL,Textile,A,2.62,1.22,1.23,18.98,"2020
"
DUTCHBANGL,Bank,A,13.12,8.33,10.0,58.65,"2020
"
EASTLAND,Insurance,A,1.81,1.32,1.12,21.32,"2020
"
EASTRNLUB,Fuel & Power,A,3.0,6.92,5.43,178.45,"2020
"
EBL,Bank,A,8.5,5.61,5.15,36.28,"2020
"
EBL1STMF,Mutual Funds,A,1.3,2.13,2.58,11.76,"2021
"
EBLNRBMF,Mutual Funds,A,0.6,1.16,1.92,12.27,"2021
"
EGEN,IT Sector,N,1.0,1.64,1.61,23.96,"2021
"
EHL,Services & Real Estate,A,1.5,3.0,3.98,70.33,"2021
"
EIL,Insurance,B,0.7,1.63,1.34,19.0,"2020
"
EMERALDOIL,Food & Allied,Z,3.86,0.12,3.33,17.23,"2016
"
ENVOYTEX,Textile,A,0.5,0.83,0.55,37.79,"2021
"
EPGL,Fuel & Power,N,1.0,1.96,2.03,57.72,"2021
"
ESQUIRENIT,Textile,A,1.5,2.76,1.97,50.61,"2020
"
EXIM1STMF,Mutual Funds,A,0.75,0.96,2.0,12.0,"2021
"
EXIMBANK,Bank,A,1.07,1.57,1.99,21.66,"2020
"
FBFIF,Mutual Funds,A,0.4,0.68,1.93,11.64,"2021
"
FEDERALINS,Insurance,A,2.24,0.96,1.33,12.4,"2020
"
FEKDIL,Textile,A,1.0,0.88,0.79,19.48,"2021
"
FIRSTSBANK,Bank,A,1.14,1.73,2.93,18.91,"2020
"
FORTUNE,Tannery Industries,A,6.73,5.16,0.8,13.63,"2020
"
FUWANGCER,Ceramics Sector,B,0.2,0.32,0.34,11.7,"2021
"
GBBPOWER,Fuel & Power,A,1.15,1.4,1.5,20.93,"2021
"
GEMINISEA,Food & Allied,B,0.5,6.24,0.72,0.93,"2021
"
GENEXIL,IT Sector,A,16.1,5.68,3.42,17.5,"2020
"
GLOBALINS,Insurance,A,1.0,2.32,1.53,12.75,"2020
"
GOLDENSON,Engineering,B,0.28,0.72,0.3,20.22,"2021
"
GP,Telecommunication,A,27.5,25.63,27.55,38.59,"2020
"
GPHISPAT,Engineering,A,7.99,4.52,4.18,29.86,"2021
"
GRAMEENS2,Mutual Funds,A,1.3,2.08,1.21,20.82,"2021
"
GREENDELMF,Mutual Funds,A,1.2,0.2,2.1,11.69,"2021
"
GREENDELT,Insurance,A,9.78,7.5,7.34,68.95,"2020
"
GSPFINANCE,Financial Institutions,A,2.87,1.69,1.55,21.9,"2020
"
HRTEX,Textile,A,1.0,2.44,1.11,42.78,"2020
"
HWAWELLTEX,Textile,A,2.0,3.93,3.02,31.56,"2021
"
IBNSINA,Pharmaceuticals & Chemicals,A,4.7,18.16,15.66,68.69,"2021
"
IBP,Pharmaceuticals & Chemicals,B,0.84,1.36,1.4,13.61,"2020
"
ICB,Financial Institutions,A,1.1,2.82,1.44,54.98,"2021
"
ICB3RDNRB,Mutual Funds,A,0.7,0.89,0.53,9.22,"2021
"
ICBAGRANI1,Mutual Funds,A,0.7,1.34,0.67,11.01,"2021
"
ICBAMCL2ND,Mutual Funds,A,0.8,1.52,0.37,10.33,"2021
"
ICBEPMF1S1,Mutual Funds,A,0.6,1.12,0.41,9.4,"2021
"
ICBSONALI1,Mutual Funds,A,0.7,1.24,0.53,10.39,"2021
"
IDLC,Financial Institutions,A,4.55,5.36,6.74,40.41,"2020
"
IFADAUTOS,Engineering,A,1.1,1.64,2.18,40.81,"2021
"
IFIC,Bank,A,0.88,1.68,0.7,17.18,"2020
"
IFIC1STMF,Mutual Funds,A,0.75,0.8,2.32,11.48,"2021
"
IFILISLMF1,Mutual Funds,A,0.4,0.88,0.31,9.5,"2021
"
INDEXAGRO,Miscellaneous,A,2.5,6.12,5.63,58.27,"2021
"
INTECH,IT Sector,B,0.1,0.25,0.15,10.7,"2020
"
INTRACO,Fuel & Power,A,1.58,1.32,0.55,12.28,"2020
"
IPDC,Financial Institutions,A,1.2,2.27,1.9,16.34,"2020
"
ISLAMIBANK,Bank,A,1.0,3.55,2.97,38.89,"2020
"
ISLAMICFIN,Financial Institutions,A,1.0,1.19,1.54,14.99,"2020
"
ISLAMIINS,Insurance,A,6.22,2.57,2.18,15.89,"2020
"
ITC,IT Sector,B,0.5,1.38,1.56,16.48,"2021
"
JAMUNABANK,Bank,A,1.75,5.16,3.54,32.06,"2020
"
JAMUNAOIL,Fuel & Power,A,12.0,14.68,18.14,161.4,"2020
"
JANATAINS,Insurance,A,2.84,1.64,1.25,14.45,"2020
"
JMISMDL,Pharmaceuticals & Chemicals,A,3.0,3.45,4.04,122.7,"2021
"
KARNAPHULI,Insurance,A,1.0,2.19,1.57,18.82,"2020
"
KAY&QUE,Engineering,B,0.4,0.48,0.44,76.79,"2020
"
KDSALTD,Engineering,A,1.5,2.2,2.2,24.75,"2021
"
KEYACOSMET,Pharmaceuticals & Chemicals,B,0.1,0.24,0.21,0.23,"2020
"
KOHINOOR,Pharmaceuticals & Chemicals,A,63.78,10.88,10.54,55.58,"2021
"
KTL,Textile,A,1.0,1.88,0.52,16.71,"2021
"
LANKABAFIN,Financial Institutions,A,1.2,2.23,1.81,18.73,"2020
"
LEGACYFOOT,Tannery Industries,B,0.1,0.2,0.4,10.83,"2021
"
LHBL,Cement,A,1.0,3.55,2.03,14.89,"2020
"
LIBRAINFU,Pharmaceuticals & Chemicals,A,0.5,1.05,1.05,1269.0,"2019
"
LINDEBD,Fuel & Power,A,40.0,82.83,70.54,355.71,"2020
"
LOVELLO,Food & Allied,N,1.1,1.6,1.41,12.57,"2021
"
LRBDL,Fuel & Power,N,1.0,2.12,3.41,36.45,"2021
"
LRGLOBMF1,Mutual Funds,A,1.51,1.74,1.74,13.47,"2021
"
MALEKSPIN,Textile,A,1.0,3.48,3.36,46.27,"2021
"
MARICO,Pharmaceuticals & Chemicals,A,90.0,125.43,98.69,51.95,"2021
"
MATINSPINN,Textile,A,4.0,10.72,6.31,53.84,"2021
"
MBL1STMF,Mutual Funds,A,1.15,0.3,1.95,11.89,"2021
"
MEGHNACEM,Cement,A,4.4,1.84,2.73,70.14,"2021
"
MERCANBANK,Bank,A,1.87,4.51,2.26,22.61,"2020
"
MERCINS,Insurance,A,1.0,1.51,1.7,19.05,"2020
"
METROSPIN,Textile,B,0.2,1.6,0.08,14.53,"2020
"
MHSML,Textile,B,0.3,1.94,0.52,18.16,"2021
"
MICEMENT,Cement,A,2.0,2.17,5.81,52.69,"2021
"
MIRAKHTER,Engineering,N,1.25,2.24,4.21,50.86,"2021
"
MJLBD,Fuel & Power,A,5.5,7.46,7.5,39.69,"2021
"
MLDYEING,Textile,A,1.0,0.96,0.62,15.75,"2021
"
MONNOAGML,Engineering,A,1.0,1.44,1.55,13.62,"2021
"
MONNOCERA,Ceramics Sector,A,1.0,0.84,0.9,57.37,"2021
"
MONOSPOOL,Paper & Printing,Z,1.0,1.16,1.23,40.43,"2021
"
MPETROLEUM,Fuel & Power,A,15.0,24.11,28.45,148.21,"2020
"
MTB,Bank,A,1.93,1.6,1.31,23.03,"2020
"
NAHEEACP,Engineering,A,1.0,2.04,2.15,17.38,"2021
"
NAVANACNG,Engineering,A,2.08,0.24,0.22,35.28,"2021
"
NBL,Bank,B,0.37,0.59,1.18,16.92,"2020
"
NCCBANK,Bank,A,1.91,2.74,2.38,22.15,"2020
"
NCCBLMF1,Mutual Funds,A,0.72,0.91,1.12,11.81,"2020
"
NEWLINE,Textile,A,2.43,2.2,1.14,23.83,"2020
"
NFML,Miscellaneous,B,1.9,0.12,0.17,12.76,"2020
"
NHFIL,Financial Institutions,A,1.5,2.81,2.75,17.91,"2020
"
NITOLINS,Insurance,A,1.0,2.73,2.84,27.23,"2020
"
NLI1STMF,Mutual Funds,A,1.75,0.96,3.14,15.32,"2021
"
NORTHRNINS,Insurance,A,1.0,1.85,1.73,20.24,"2020
"
NPOLYMER,Engineering,A,1.0,2.24,2.82,30.49,"2021
"
NRBCBANK,Bank,A,2.1,2.96,1.96,14.0,"2020
"
OLYMPIC,Food & Allied,A,5.4,8.23,10.18,46.21,"2021
"
ONEBANKLTD,Bank,A,1.35,2.92,1.57,19.31,"2020
"
ORIONINFU,Pharmaceuticals & Chemicals,A,1.0,2.88,1.37,13.1,"2021
"
ORIONPHARM,Pharmaceuticals & Chemicals,A,1.2,1.2,4.01,79.76,"2021
"
PAPERPROC,Paper & Printing,Z,1.0,3.16,1.34,27.97,"2021
"
PARAMOUNT,Insurance,A,14.5,4.11,5.38,26.62,"2020
"
PDL,Textile,B,1.26,0.4,0.54,14.65,"2020
"
PENINSULA,Travel & Leisure,A,1.0,1.24,0.41,30.28,"2021
"
PEOPLESINS,Insurance,A,1.1,2.71,2.26,28.6,"2020
"
PF1STMF,Mutual Funds,A,0.6,1.2,0.32,9.68,"2021
"
PHARMAID,Pharmaceuticals & Chemicals,A,5.0,20.6,16.11,93.26,"2021
"
PHENIXINS,Insurance,A,1.5,2.75,2.33,39.1,"2020
"
PHOENIXFIN,Financial Institutions,A,2.94,0.97,1.36,22.01,"2020
"
PHPMF1,Mutual Funds,A,0.85,0.6,2.04,11.85,"2021
"
PIONEERINS,Insurance,A,13.01,7.95,7.61,49.75,"2020
"
POPULAR1MF,Mutual Funds,A,0.85,0.76,2.08,11.85,"2021
"
POWERGRID,Fuel & Power,A,2.0,7.28,4.45,110.39,"2020
"
PRAGATIINS,Insurance,A,3.0,6.31,4.07,53.51,"2020
"
PREMIERBAN,Bank,A,2.38,2.98,2.13,21.02,"2020
"
PREMIERCEM,Cement,A,2.0,0.48,6.18,79.83,"2021
"
PRIME1ICBA,Mutual Funds,A,0.75,1.76,0.47,10.15,"2021
"
PRIMEBANK,Bank,A,1.5,3.01,1.6,25.15,"2020
"
PRIMEINSUR,Insurance,A,1.0,2.69,1.31,17.62,"2020
"
PRIMETEX,Textile,B,0.2,0.56,0.62,67.93,"2021
"
PROVATIINS,Insurance,A,20.32,3.92,3.1,21.11,"2020
"
PTL,Textile,A,7.2,6.12,4.27,27.24,"2021
"
PUBALIBANK,Bank,A,1.25,6.03,3.6,37.63,"2020
"
PURABIGEN,Insurance,A,2.4,1.43,1.16,13.09,"2020
"
QUASEMIND,Engineering,A,3.0,0.44,0.7,31.01,"2020
"
QUEENSOUTH,Textile,A,2.85,1.4,0.96,16.64,"2020
"
RAHIMAFOOD,Food & Allied,B,0.1,0.16,0.07,9.29,"2021
"
RAHIMTEXT,Textile,A,1.6,2.16,2.29,37.99,"2021
"
RAKCERAMIC,Ceramics Sector,A,1.0,1.96,0.73,16.41,"2020
"
RANFOUNDRY,Engineering,A,2.3,4.56,3.68,29.11,"2021
"
RDFOOD,Food & Allied,B,2.11,1.64,0.64,14.65,"2021
"
RECKITTBEN,Pharmaceuticals & Chemicals,A,140.0,139.69,155.75,170.95,"2020
"
RELIANCE1,Mutual Funds,A,1.05,1.24,1.06,14.76,"2021
"
RELIANCINS,Insurance,A,2.5,6.38,5.21,60.73,"2020
"
RENATA,Pharmaceuticals & Chemicals,A,145.7,56.77,51.94,263.85,"2021
"
REPUBLIC,Insurance,A,4.1,2.48,2.36,16.18,"2020
"
RINGSHINE,Textile,A,1.57,0.29,1.72,24.88,"2019
"
RUNNERAUTO,Engineering,A,1.0,2.12,2.7,65.16,"2021
"
RUPALIBANK,Bank,A,3.33,0.49,0.49,44.1,"2020
"
RUPALIINS,Insurance,A,1.0,1.99,1.9,21.41,"2020
"
SAFKOSPINN,Textile,B,0.5,0.08,0.23,21.44,"2021
"
SAIFPOWER,Services & Real Estate,A,2.77,2.08,1.14,16.63,"2020
"
SAIHAMTEX,Textile,A,1.0,1.16,1.11,42.91,"2021
"
SALAMCRST,Engineering,A,1.0,0.76,0.55,19.01,"2020
"
SALVOCHEM,Pharmaceuticals & Chemicals,B,0.2,2.2,0.34,12.69,"2021
"
SAMORITA,Services & Real Estate,A,1.0,4.32,2.23,51.46,"2021
"
SAPORTL,Services & Real Estate,A,1.0,0.88,0.79,33.52,"2021
"
SBACBANK,Bank,N,1.04,1.08,1.21,13.59,"2020
"
SEMLFBSLGF,Mutual Funds,A,1.5,1.32,1.87,12.4,"2021
"
SEMLIBBLSF,Mutual Funds,A,1.0,2.61,2.33,11.31,"2021
"
SEMLLECMF,Mutual Funds,A,1.5,3.85,2.84,11.84,"2021
"
SHAHJABANK,Bank,A,1.81,3.27,1.95,18.33,"2020
"
SHASHADNIM,Textile,A,1.0,1.72,1.02,41.97,"2021
"
SHURWID,Engineering,A,1.0,2.52,1.38,12.21,"2019
"
SIBL,Bank,A,1.38,1.08,1.67,19.29,"2020
"
SILCOPHL,Pharmaceuticals & Chemicals,A,1.0,1.36,0.8,21.64,"2020
"
SILVAPHL,Pharmaceuticals & Chemicals,B,0.5,1.16,0.88,16.63,"2021
"
SIMTEX,Textile,B,0.4,0.64,0.92,21.82,"2021
"
SINGERBD,Engineering,A,3.0,7.96,7.85,32.19,"2020
"
SINOBANGLA,Miscellaneous,A,0.5,1.16,1.31,25.69,"2020
"
SKTRIMS,Miscellaneous,B,0.5,0.96,1.14,14.1,"2021
"
SONALIANSH,Jute,A,1.0,1.13,1.13,225.65,"2021
"
SONALIPAPR,Paper & Printing,A,147.58,26.64,4.89,284.33,"2021
"
SONARBAINS,Insurance,A,1.5,2.63,2.09,19.62,"2020
"
SOUTHEASTB,Bank,A,1.0,4.17,1.81,24.98,"2020
"
SPCERAMICS,Ceramics Sector,B,0.25,0.08,0.32,30.63,"2021
"
SPCL,Fuel & Power,A,4.6,8.52,4.47,34.94,"2020
"
SQUARETEXT,Textile,A,2.0,9.2,3.41,38.69,"2021
"
SQURPHARMA,Pharmaceuticals & Chemicals,A,6.0,22.57,17.99,102.54,"2021
"
SSSTEEL,Engineering,A,1.81,2.92,1.55,17.48,"2020
"
STANDARINS,Insurance,A,1.25,2.96,2.07,19.09,"2020
"
STANDBANKL,Bank,A,0.51,0.37,1.08,16.67,"2020
"
SUMITPOWER,Fuel & Power,A,3.5,4.08,5.25,34.45,"2021
"
TAKAFULINS,Insurance,A,1.0,2.29,1.65,17.97,"2020
"
TAMIJTEX,Textile,Z,2.0,3.0,2.05,82.3,"2021
"
TITASGAS,Fuel & Power,A,2.2,2.6,3.5,72.57,"2021
"
TOSRIFA,Textile,B,0.71,0.64,0.64,29.35,"2021
"
TRUSTB1MF,Mutual Funds,A,0.9,0.6,2.24,11.91,"2021
"
TRUSTBANK,Bank,A,4.46,5.26,2.81,27.37,"2020
"
UCB,Bank,A,1.33,2.2,2.42,29.35,"2020
"
UNILEVERCL,Food & Allied,A,44.0,42.8,43.94,123.08,"2020
"
UNITEDFIN,Financial Institutions,A,1.0,0.95,1.13,17.11,"2020
"
UNITEDINS,Insurance,A,1.1,2.4,2.04,33.04,"2020
"
UPGDCL,Fuel & Power,A,17.0,19.99,18.8,56.18,"2021
"
UTTARABANK,Bank,A,4.61,3.61,4.31,34.79,"2020
"
UTTARAFIN,Financial Institutions,A,3.56,2.24,9.45,62.45,"2019
"
VAMLBDMF1,Mutual Funds,A,1.5,2.21,2.1,14.63,"2021
"
VAMLRBBF,Mutual Funds,A,0.16,2.12,1.68,10.16,"2020
"
VFSTDL,Textile,A,1.1,1.6,1.5,18.7,"2021
"
WALTONHIL,Engineering,A,25.0,29.46,54.21,311.59,"2021
"
WATACHEM,Pharmaceuticals & Chemicals,A,3.0,4.04,6.14,60.22,"2021
"
